,pearson_ic,spearman_ic,ic_cumsum
2024-02-24 05:00:00+00:00,-0.0120875770945639,-0.08527364124931745,-16.52272463591376
2024-02-24 17:00:00+00:00,-0.002172881264257833,-0.06070166103325379,-16.52489751717802
2024-02-25 05:00:00+00:00,-0.006276090727066285,-0.06927860880783233,-16.531173607905085
2024-02-25 17:00:00+00:00,-0.04872280913705215,-0.12876168824002293,-16.579896417042136
2024-02-26 05:00:00+00:00,-0.040332132687781345,-0.11386919061023926,-16.620228549729916
2024-02-26 17:00:00+00:00,-0.05196587013900067,-0.13878816645417913,-16.672194419868916
2024-02-27 05:00:00+00:00,0.0053017979653492125,-0.07574701091258529,-16.666892621903568
2024-02-27 17:00:00+00:00,-0.013239604356219148,-0.09502086873761041,-16.680132226259786
2024-02-28 05:00:00+00:00,-0.0176869239898262,-0.10760577421843456,-16.69781915024961
2024-02-28 17:00:00+00:00,-0.3020395645563997,-0.1689663146505177,-16.99985871480601
2024-02-29 05:00:00+00:00,-0.29221821190337066,-0.16044679737568596,-17.29207692670938
2024-02-29 17:00:00+00:00,-0.18394438600209667,-0.09070126256601269,-17.476021312711477
2024-03-01 05:00:00+00:00,-0.18293802216441216,-0.10568480458045058,-17.658959334875888
2024-03-01 17:00:00+00:00,-0.2027705965889123,-0.1499013882753492,-17.8617299314648
2024-03-02 05:00:00+00:00,-0.19876508221815006,-0.12777614804495155,-18.06049501368295
2024-03-02 17:00:00+00:00,-0.1960160596789985,-0.12255990423847456,-18.25651107336195
2024-03-03 05:00:00+00:00,-0.19272344253042786,-0.11937318101904273,-18.44923451589238
2024-03-03 17:00:00+00:00,-0.21030067797372376,-0.1713118756094096,-18.659535193866102
2024-03-04 05:00:00+00:00,-0.21713185978191554,-0.20105047166781784,-18.876667053648017
2024-03-04 17:00:00+00:00,-0.18044955246149294,-0.15832224292841593,-19.05711660610951
2024-03-05 05:00:00+00:00,-0.17747036820746115,-0.1542043324483245,-19.234586974316972
2024-03-05 17:00:00+00:00,-0.21751239355233254,-0.20394025394666382,-19.452099367869305
2024-03-06 05:00:00+00:00,-0.06559952002851273,-0.1540407603752798,-19.51769888789782
2024-03-06 17:00:00+00:00,-0.06257550843543173,-0.13285403453914016,-19.58027439633325
2024-03-07 05:00:00+00:00,-0.05469556193615664,-0.10513310912378605,-19.63496995826941
2024-03-07 17:00:00+00:00,-0.04567403698125034,-0.07172553923078512,-19.68064399525066
2024-03-08 05:00:00+00:00,-0.04188249211379583,-0.057872209649037276,-19.722526487364455
2024-03-08 17:00:00+00:00,-0.07269656784814263,-0.08230372074125399,-19.7952230552126
2024-03-09 05:00:00+00:00,-0.06973903964248057,-0.07134247336033708,-19.86496209485508
2024-03-09 17:00:00+00:00,-0.020981125835471813,-0.01697119001355229,-19.885943220690553
2024-03-10 05:00:00+00:00,-0.02249751730223802,-0.02644964171150578,-19.90844073799279
2024-03-10 17:00:00+00:00,-0.026135626365982607,-0.03972741767868761,-19.934576364358772
2024-03-11 05:00:00+00:00,-0.022302266483769016,-0.017865606188331055,-19.956878630842542
2024-03-11 17:00:00+00:00,-0.02844019013066651,-0.02054578394214305,-19.98531882097321
2024-03-12 05:00:00+00:00,-0.0318268189222601,-0.025685967359304795,-20.017145639895467
2024-03-12 17:00:00+00:00,-0.06257232757318591,-0.0720612108278202,-20.079717967468653
