open_time,open,high,low,close,volume
1725445440000,56487.2,56532.0,56486.8,56518.2,2.60612841
1725445500000,56518.3,56605.5,56518.3,56605.5,1.36016657
1725445560000,56605.5,56619.1,56592.1,56619.0,1.83807627
1725445620000,56619.1,56664.0,56613.7,56651.8,4.59422036
1725445680000,56652.0,56654.7,56605.9,56610.2,2.08908169
1725445740000,56610.6,56622.9,56610.2,56620.2,0.95446669
1725445800000,56620.2,56700.0,56602.1,56689.8,12.11527883
1725445860000,56689.0,56701.7,56670.0,56699.9,2.31703147
1725445920000,56699.0,56699.0,56616.1,56616.1,1.30211756
1725445980000,56616.1,56632.0,56616.1,56630.1,1.54502707
1725446040000,56629.0,56629.0,56580.1,56588.2,2.60592264
1725446100000,56591.8,56608.7,56571.9,56590.8,2.84557887
1725446160000,56590.7,56591.3,56564.0,56565.8,0.56316072
1725446220000,56563.8,56577.7,56550.0,56577.6,1.06322867
1725446280000,56575.4,56604.0,56570.0,56580.0,1.28074915
1725446340000,56582.4,56593.4,56572.1,56580.2,0.62381751
1725446400000,56576.7,56604.1,56568.0,56600.3,1.07467279
1725446460000,56600.3,56620.6,56600.3,56620.6,0.94702969
1725446520000,56620.6,56624.0,56603.3,56609.2,2.51614642
1725446580000,56609.2,56609.2,56490.2,56492.8,2.9403403
1725446640000,56494.0,56521.3,56494.0,56521.0,1.63519376
1725446700000,56521.4,56555.9,56514.8,56552.7,1.44877819
1725446760000,56547.8,56567.1,56540.0,56567.1,0.87104724
1725446820000,56565.6,56565.6,56500.0,56521.0,2.46957383
1725446880000,56521.0,56523.9,56460.1,56492.3,2.21341364
1725446940000,56495.0,56497.9,56465.2,56484.0,2.20879915
1725447000000,56482.6,56524.0,56478.1,56523.9,4.75761212
1725447060000,56523.9,56540.8,56500.1,56538.7,2.58418765
1725447120000,56538.0,56538.0,56480.1,56481.7,7.17983907
1725447180000,56481.8,56485.2,56462.0,56462.1,0.42113351
1725447240000,56462.0,56465.2,56450.0,56455.1,0.53928591
1725447300000,56455.1,56468.8,56438.0,56458.0,6.50978944
1725447360000,56456.3,56469.9,56452.2,56454.2,2.45304966
1725447420000,56455.9,56488.0,56455.9,56475.9,0.84614263
1725447480000,56472.0,56483.3,56464.0,56472.0,2.1649417
1725447540000,56473.9,56473.9,56443.5,56447.6,6.13924771
1725447600000,56448.1,56498.0,56448.1,56480.7,1.89060368
1725447660000,56483.9,56511.4,56470.7,56496.4,3.20808357
1725447720000,56496.3,56522.8,56482.1,56522.7,0.37140909
1725447780000,56520.3,56530.7,56498.6,56500.1,2.07032732
1725447840000,56500.1,56504.3,56452.7,56452.8,1.06640465
1725447900000,56453.8,56473.8,56452.7,56462.0,1.10221732
1725447960000,56462.0,56505.0,56462.0,56472.2,2.02013864
1725448020000,56472.3,56537.4,56472.3,56531.7,2.70890172
1725448080000,56531.0,56550.2,56530.9,56544.0,0.3010127
1725448140000,56543.9,56553.9,56520.1,56552.0,0.91924575
1725448200000,56553.4,56571.8,56553.4,56557.1,0.97901158
1725448260000,56557.1,56568.0,56542.1,56558.0,1.19418524
1725448320000,56560.0,56582.0,56560.0,56578.9,1.08881552
1725448380000,56577.6,56577.6,56528.6,56533.4,0.73920015
1725448440000,56533.4,56547.9,56506.0,56518.4,7.6176684
1725448500000,56518.4,56535.2,56512.0,56531.4,0.91247335
1725448560000,56532.0,56560.5,56523.6,56523.7,6.42808586
1725448620000,56521.8,56521.8,56458.0,56473.0,6.82204773
1725448680000,56473.1,56488.1,56456.6,56481.9,4.04583521
1725448740000,56481.9,56521.4,56481.9,56512.0,0.38658828
1725448800000,56512.0,56527.3,56491.8,56501.8,0.75693741
1725448860000,56504.0,56522.6,56496.1,56521.9,2.01925828
1725448920000,56523.1,56526.7,56504.1,56507.9,0.86931565
1725448980000,56507.9,56525.3,56504.5,56520.0,0.28757235
1725449040000,56519.6,56554.4,56515.2,56523.5,0.62896012
1725449100000,56523.0,56523.0,56488.0,56489.9,1.30085809
1725449160000,56489.9,56505.6,56487.9,56495.5,0.42507195
1725449220000,56492.1,56542.7,56484.2,56521.9,2.94730204
1725449280000,56523.5,56534.8,56508.1,56508.1,0.25312834
1725449340000,56508.1,56538.0,56508.1,56531.1,0.92247524
1725449400000,56531.1,56591.9,56520.3,56576.6,5.89243076
1725449460000,56580.0,56583.4,56560.7,56564.1,0.67692073
1725449520000,56565.3,56591.5,56565.3,56586.0,0.46431887
1725449580000,56587.9,56648.0,56587.9,56648.0,2.40289625
1725449640000,56649.5,56663.8,56594.8,56598.6,1.819139
1725449700000,56598.1,56655.0,56598.1,56645.5,2.26455818
1725449760000,56645.3,56667.8,56642.4,56655.6,0.35403979
1725449820000,56652.0,56652.0,56616.0,56618.0,1.4009365
1725449880000,56617.9,56656.8,56617.9,56641.4,1.70789238
1725449940000,56640.0,56650.0,56631.1,56649.9,0.64085055
1725450000000,56648.7,56648.7,56623.0,56634.8,1.96125494
1725450060000,56634.9,56679.4,56634.9,56679.3,3.07164333
1725450120000,56679.7,56687.3,56614.1,56617.2,3.38921353
1725450180000,56617.2,56619.9,56596.1,56603.2,1.18134347
1725450240000,56600.4,56627.4,56600.0,56621.5,3.96396319
1725450300000,56620.0,56622.6,56584.0,56586.7,2.95521285
1725450360000,56586.7,56629.9,56586.7,56609.8,1.9374274
1725450420000,56609.8,56609.8,56570.9,56571.9,0.66398792
1725450480000,56572.9,56581.3,56560.2,56572.0,0.76909678
1725450540000,56572.1,56572.1,56560.0,56560.1,0.34328971
1725450600000,56560.0,56574.2,56552.3,56558.8,9.57871705
1725450660000,56556.4,56583.3,56551.2,56576.0,3.69855164
1725450720000,56573.8,56588.8,56567.3,56588.8,1.82942633
1725450780000,56588.7,56604.0,56579.3,56583.5,0.90416861
1725450840000,56584.0,56584.0,56568.0,56572.0,0.99534651
1725450900000,56572.1,56623.1,56572.0,56622.2,2.0139042
1725450960000,56623.0,56635.2,56608.4,56614.0,1.58240916
1725451020000,56616.1,56626.0,56590.1,56590.6,1.07279773
1725451080000,56590.5,56601.3,56577.5,56577.8,3.50389221
1725451140000,56576.8,56589.4,56565.9,56565.9,2.28408979
1725451200000,56564.0,56573.0,56553.9,56571.9,0.94947187
1725451260000,56571.9,56623.2,56571.9,56617.4,2.11129787
1725451320000,56617.4,56619.9,56589.0,56593.0,0.30803006
1725451380000,56593.0,56628.2,56590.4,56627.9,0.68902003
