open_time,open,high,low,close,volume
1723259520000,60380.0,60402.0,60372.1,60394.6,1.16856135
1723259580000,60399.2,60425.7,60399.2,60425.7,0.80901031
1723259640000,60426.6,60434.7,60410.0,60412.1,1.48273297
1723259700000,60412.1,60412.1,60359.5,60387.8,0.50803872
1723259760000,60394.0,60424.9,60394.0,60420.1,0.39654164
1723259820000,60425.0,60435.5,60425.0,60431.2,0.33934334
1723259880000,60432.9,60432.9,60420.1,60422.1,0.6498632
1723259940000,60420.1,60421.9,60392.1,60396.1,0.42631792
1723260000000,60396.1,60397.9,60347.3,60374.1,1.72875779
1723260060000,60372.4,60405.8,60350.1,60405.7,2.39479818
1723260120000,60398.1,60428.2,60392.0,60420.4,1.31117199
1723260180000,60420.4,60434.0,60420.4,60430.2,1.08162355
1723260240000,60427.9,60427.9,60392.0,60403.9,0.3917747
1723260300000,60404.0,60404.0,60361.7,60381.8,0.47998848
1723260360000,60383.9,60400.0,60362.0,60399.4,0.63069268
1723260420000,60399.3,60399.4,60370.5,60389.7,0.56933461
1723260480000,60386.2,60386.2,60358.0,60364.3,0.52020112
1723260540000,60366.0,60371.9,60342.0,60367.4,4.18512557
1723260600000,60367.4,60391.7,60302.9,60302.9,6.52209982
1723260660000,60302.6,60346.0,60278.0,60346.0,7.80532499
1723260720000,60344.1,60367.9,60342.0,60365.3,0.75318316
1723260780000,60365.3,60414.7,60365.2,60410.1,0.81932706
1723260840000,60410.1,60414.9,60377.7,60388.0,1.71286607
1723260900000,60388.0,60426.2,60383.2,60414.0,1.74263684
1723260960000,60418.0,60432.5,60418.0,60432.4,1.80916807
1723261020000,60432.5,60440.5,60410.0,60412.0,0.66557742
1723261080000,60415.8,60435.3,60414.6,60430.2,0.37779582
1723261140000,60433.6,60439.6,60422.0,60434.5,0.93150449
1723261200000,60430.1,60434.4,60427.9,60434.4,0.54962349
1723261260000,60430.3,60434.5,60406.1,60426.8,1.54972159
1723261320000,60428.1,60440.9,60428.1,60438.2,1.15862804
1723261380000,60438.2,60476.0,60438.2,60475.9,3.96358072
1723261440000,60476.1,60480.0,60442.4,60458.9,1.55262858
1723261500000,60458.9,60465.9,60436.1,60446.0,0.38134084
1723261560000,60448.4,60477.9,60448.4,60473.2,0.19978247
1723261620000,60467.0,60498.2,60455.5,60458.0,2.32246784
1723261680000,60460.0,60508.0,60460.0,60501.9,0.99577665
1723261740000,60500.3,60504.9,60447.8,60460.1,0.22265014
1723261800000,60460.2,60476.0,60454.1,60476.0,0.30302826
1723261860000,60475.9,60487.5,60468.0,60472.2,0.1986361
1723261920000,60476.0,60493.2,60475.9,60480.5,1.98463069
1723261980000,60480.4,60485.8,60478.1,60485.7,0.12681366
1723262040000,60485.7,60485.8,60428.1,60432.1,3.94964069
1723262100000,60432.2,60439.5,60430.0,60436.3,1.89200506
1723262160000,60432.3,60435.9,60414.0,60431.4,1.30660344
1723262220000,60428.0,60437.9,60418.1,60437.9,2.09693998
1723262280000,60438.0,60442.0,60428.1,60438.3,1.26705507
1723262340000,60438.2,60443.7,60434.0,60438.2,0.63409764
1723262400000,60440.5,60450.0,60408.1,60418.3,0.2117729
1723262460000,60418.3,60430.0,60410.6,60414.0,1.39279517
1723262520000,60412.1,60412.1,60377.8,60379.7,1.50193914
