open_time,open,high,low,close,volume
1729615320000,66956.0,66979.2,66950.0,66956.5,9.95068916
1729615380000,66956.6,67001.9,66935.0,67001.8,18.66364421
1729615440000,67001.8,67001.9,66922.1,66922.1,7.78783515
1729615500000,66922.0,66982.1,66917.4,66963.6,6.89379984
1729615560000,66963.6,67000.0,66954.0,66999.9,5.36831194
1729615620000,67000.0,67037.9,66994.0,67034.6,8.55038158
1729615680000,67034.6,67034.6,66984.1,66984.1,3.68495518
1729615740000,66984.1,66990.9,66954.3,66954.3,2.81759097
1729615800000,66954.2,66999.9,66944.0,66978.3,7.88907657
1729615860000,66978.3,67015.6,66960.0,67012.1,8.58883335
1729615920000,67012.2,67031.1,66995.5,67020.0,5.53951514
1729615980000,67020.0,67020.0,66975.5,66975.5,2.70171768
1729616040000,66975.6,67022.0,66975.5,67010.1,7.62855809
1729616100000,67010.0,67045.4,67006.0,67007.2,18.46304628
1729616160000,67007.1,67011.9,66998.0,67000.1,4.01817146
1729616220000,67000.0,67000.1,66964.4,66964.4,3.66931247
1729616280000,66964.5,66984.0,66964.0,66980.0,2.80459239
1729616340000,66980.0,66980.0,66951.0,66966.0,1.78987868
1729616400000,66966.1,66982.0,66950.0,66967.2,5.81999036
1729616460000,66967.2,66977.6,66938.0,66947.5,4.91973995
1729616520000,66946.7,67043.1,66946.6,67043.1,6.90921386
1729616580000,67044.0,67055.9,66996.1,67033.9,13.07971188
1729616640000,67034.0,67061.9,67016.3,67054.5,5.52330999
1729616700000,67054.5,67068.1,67023.0,67068.1,5.40347747
1729616760000,67069.6,67104.9,67068.0,67104.8,7.72133022
1729616820000,67104.9,67190.2,67104.9,67160.2,9.99379642
1729616880000,67160.3,67183.8,67146.0,67168.6,4.06864673
1729616940000,67168.6,67208.0,67151.8,67207.9,2.18363272
1729617000000,67208.0,67231.8,67182.9,67204.1,6.16458768
1729617060000,67203.0,67213.9,67148.0,67177.3,16.1956566
1729617120000,67177.2,67177.2,67151.1,67151.2,5.92619439
1729617180000,67152.0,67180.0,67152.0,67180.0,1.39953393
1729617240000,67179.9,67222.0,67171.0,67193.8,7.90329355
1729617300000,67193.8,67233.0,67185.4,67215.8,3.54558364
1729617360000,67215.8,67216.0,67205.9,67211.1,0.51992029
1729617420000,67211.1,67211.1,67170.0,67186.0,2.32917149
1729617480000,67186.1,67186.1,67162.0,67171.9,3.17250553
1729617540000,67171.9,67233.9,67164.9,67212.0,7.05296433
1729617600000,67212.0,67407.6,67204.5,67398.3,61.95771056
1729617660000,67398.4,67428.0,67359.9,67366.5,15.78025098
1729617720000,67366.5,67386.9,67353.8,67384.3,3.37179418
1729617780000,67384.3,67386.5,67363.9,67364.5,2.52291304
1729617840000,67364.0,67364.0,67320.6,67339.8,3.01299745
1729617900000,67339.8,67366.7,67334.2,67356.8,33.64255294
1729617960000,67356.8,67356.8,67306.0,67323.9,6.35278174
1729618020000,67323.9,67330.0,67302.1,67326.7,1.82638568
1729618080000,67326.8,67393.0,67326.8,67370.8,9.91878495
1729618140000,67370.8,67376.5,67362.6,67362.6,2.96455482
1729618200000,67362.5,67367.8,67350.1,67364.2,2.05693155
1729618260000,67364.3,67364.3,67320.1,67362.5,3.79139036
1729618320000,67362.6,67367.5,67345.5,67350.5,0.94055301
1729618380000,67350.6,67363.8,67343.7,67352.2,0.84732693
1729618440000,67352.2,67384.5,67321.1,67321.1,4.6567355
1729618500000,67321.2,67370.2,67320.6,67341.9,4.68327967
1729618560000,67342.0,67361.7,67228.0,67239.9,9.26134068
1729618620000,67240.0,67325.9,67239.9,67319.9,4.39116229
1729618680000,67320.0,67383.9,67284.1,67364.1,18.95707805
1729618740000,67364.1,67379.8,67343.9,67358.3,1.5704511
1729618800000,67358.2,67419.9,67347.1,67378.8,14.14329606
1729618860000,67378.8,67388.7,67356.0,67388.7,1.73705582
1729618920000,67390.3,67399.1,67374.0,67386.1,2.32819516
1729618980000,67386.2,67395.8,67358.0,67374.7,2.60791228
1729619040000,67374.8,67391.9,67374.1,67379.6,1.73808846
1729619100000,67379.7,67379.7,67332.1,67353.5,5.10935499
1729619160000,67353.6,67376.2,67341.1,67364.4,0.58889578
1729619220000,67364.4,67393.8,67343.2,67361.8,2.57819201
1729619280000,67361.9,67372.0,67355.0,67364.1,2.00698284
1729619340000,67364.0,67364.1,67306.0,67317.9,18.0313748
1729619400000,67318.0,67332.0,67309.1,67317.3,1.08508047
1729619460000,67317.8,67335.0,67303.0,67334.3,1.24791163
1729619520000,67334.4,67334.4,67258.8,67258.8,2.68159367
1729619580000,67258.9,67311.2,67258.8,67296.0,6.26575454
1729619640000,67296.1,67313.8,67284.5,67306.3,1.83054872
1729619700000,67306.4,67326.8,67288.1,67326.7,2.85080324
1729619760000,67326.8,67326.8,67308.2,67308.2,0.56211044
1729619820000,67308.1,67326.8,67303.0,67304.1,0.52922687
1729619880000,67304.2,67349.9,67304.1,67339.8,2.61545199
1729619940000,67340.0,67340.0,67315.9,67325.8,5.20383635
1729620000000,67325.9,67341.9,67314.1,67331.8,0.77782991
1729620060000,67331.9,67370.0,67331.8,67354.0,3.55729114
1729620120000,67354.0,67430.5,67354.0,67430.5,4.55126269
1729620180000,67430.6,67459.3,67427.5,67454.6,5.44222746
1729620240000,67454.6,67454.6,67429.9,67443.9,30.69887778
1729620300000,67444.0,67458.0,67435.7,67456.4,5.62554024
1729620360000,67456.4,67463.0,67438.0,67444.6,4.40150134
1729620420000,67444.6,67470.3,67438.0,67465.4,5.60935742
1729620480000,67465.4,67470.3,67449.8,67449.8,2.28769972
1729620540000,67449.9,67449.9,67402.0,67410.1,4.82005802
1729620600000,67410.1,67410.1,67376.4,67383.9,3.60253957
1729620660000,67384.0,67403.8,67374.2,67384.5,4.3934244
1729620720000,67384.5,67384.6,67361.9,67369.8,1.78243161
1729620780000,67369.9,67369.9,67347.5,67349.8,0.50142274
1729620840000,67349.9,67349.9,67316.0,67319.4,0.91721761
1729620900000,67319.9,67339.7,67312.1,67327.8,4.2456674
1729620960000,67327.8,67336.5,67323.5,67333.9,1.29247993
1729621020000,67334.0,67334.0,67326.7,67327.8,0.27086866
1729621080000,67327.9,67345.2,67310.9,67345.1,1.471008
1729621140000,67345.2,67345.2,67316.6,67337.8,1.22153055
1729621200000,67337.8,67363.8,67326.5,67348.0,1.85757967
1729621260000,67348.0,67353.9,67290.2,67292.5,1.44995459
