open_time,open,high,low,close,volume
1722742740000,60783.3,60783.3,60756.1,60762.2,0.21142798
1722742800000,60761.6,60761.6,60729.0,60729.0,0.9646903
1722742860000,60729.0,60731.9,60715.9,60720.7,0.75814094
1722742920000,60726.4,60735.3,60718.1,60718.1,0.24405207
1722742980000,60718.1,60732.5,60718.1,60732.5,0.21808352
1722743040000,60732.5,60756.8,60732.5,60749.8,0.287307
1722743100000,60751.1,60757.8,60728.1,60728.1,0.32902656
1722743160000,60729.5,60729.5,60708.2,60717.1,0.3240733
1722743220000,60723.1,60745.7,60716.9,60737.9,0.05362594
1722743280000,60736.1,60775.9,60736.1,60775.9,2.40292981
1722743340000,60779.2,60783.3,60751.0,60751.1,0.25559301
1722743400000,60751.0,60785.9,60741.3,60778.1,0.29817061
1722743460000,60780.4,60802.0,60780.4,60800.9,1.82540802
1722743520000,60795.1,60808.8,60792.1,60807.5,0.18188613
1722743580000,60807.5,60809.0,60726.1,60731.4,20.47721836
1722743640000,60731.4,60760.0,60731.4,60759.4,4.86943647
1722743700000,60759.4,60783.4,60717.1,60738.1,9.13886243
1722743760000,60738.1,60756.0,60715.5,60724.1,6.50117316
1722743820000,60724.1,60736.5,60719.3,60730.2,0.60790748
1722743880000,60731.8,60745.9,60731.8,60745.9,0.1993402
1722743940000,60746.0,60748.7,60730.1,60741.7,0.90498908
1722744000000,60738.1,60748.7,60734.0,60740.0,1.81462933
1722744060000,60743.1,60760.0,60722.1,60750.6,12.07602999
1722744120000,60748.0,60779.9,60734.0,60753.0,5.53406951
1722744180000,60753.0,60763.3,60745.9,60756.0,0.294295
1722744240000,60756.1,60757.0,60738.7,60738.7,1.78275824
1722744300000,60738.0,60738.0,60702.1,60703.9,0.28750879
1722744360000,60701.5,60701.5,60667.1,60683.9,4.15319248
1722744420000,60685.8,60721.9,60685.8,60710.1,0.85546658
1722744480000,60710.0,60725.7,60703.8,60722.4,0.13645711
1722744540000,60722.4,60732.1,60691.7,60691.7,0.91731054
1722744600000,60686.1,60705.8,60680.0,60705.8,0.66731706
1722744660000,60708.4,60708.4,60687.3,60704.0,0.59530596
1722744720000,60702.1,60719.0,60698.0,60719.0,0.1196264
1722744780000,60716.4,60735.0,60716.4,60720.0,0.17262322
1722744840000,60718.5,60718.5,60710.2,60710.3,0.03162919
1722744900000,60714.5,60738.2,60697.5,60738.2,5.69188088
1722744960000,60738.2,60744.6,60713.5,60718.0,0.96732906
1722745020000,60719.3,60732.0,60708.2,60708.2,0.24180871
1722745080000,60708.3,60738.5,60708.2,60737.0,1.51862407
1722745140000,60737.1,60744.5,60737.1,60738.6,0.0599954
1722745200000,60738.5,60744.7,60728.9,60744.7,0.08001557
1722745260000,60744.6,60744.7,60726.3,60726.3,0.79123663
