open_time,open,high,low,close,volume
1720824120000,57720.9,57730.0,57705.0,57727.8,0.83675121
1720824180000,57728.1,57728.1,57704.1,57707.8,0.73283595
1720824240000,57704.3,57724.2,57704.1,57723.1,0.19744653
1720824300000,57722.6,57722.6,57697.1,57705.4,0.68266285
1720824360000,57705.4,57723.9,57700.6,57723.9,0.99568248
1720824420000,57723.9,57724.0,57714.7,57722.8,0.18758078
1720824480000,57722.8,57730.0,57722.8,57730.0,0.02522938
1720824540000,57730.0,57759.4,57730.0,57759.4,0.30204821
1720824600000,57759.4,57759.4,57734.4,57737.4,0.71514238
1720824660000,57740.3,57747.6,57740.3,57746.3,0.01411325
1720824720000,57741.3,57760.7,57741.3,57752.3,0.55029567
1720824780000,57752.3,57786.6,57752.3,57769.0,0.61181631
1720824840000,57767.4,57777.9,57767.4,57771.7,0.05174814
1720824900000,57774.9,57811.4,57774.9,57811.4,2.12804649
1720824960000,57811.3,57811.3,57777.1,57777.1,1.16549382
1720825020000,57779.5,57807.1,57779.5,57807.1,0.44481741
1720825080000,57807.6,57807.6,57780.0,57783.2,3.02907405
1720825140000,57783.3,57796.6,57781.8,57781.9,0.25540257
1720825200000,57781.9,57791.1,57755.1,57760.7,1.16612773
1720825260000,57760.7,57767.2,57748.3,57748.3,1.89221242
1720825320000,57748.3,57761.9,57721.0,57725.2,4.67241444
1720825380000,57726.7,57744.4,57726.7,57744.4,1.33280675
1720825440000,57744.3,57744.3,57732.6,57741.2,0.46380742
1720825500000,57741.2,57743.4,57733.9,57743.4,0.2070944
1720825560000,57743.3,57743.3,57711.0,57717.8,1.3935758
1720825620000,57717.7,57724.3,57717.7,57722.7,0.28968118
1720825680000,57722.7,57727.3,57722.7,57726.1,1.0813004
1720825740000,57726.1,57727.2,57726.0,57727.2,0.10625526
1720825800000,57727.2,57751.8,57727.2,57736.1,34.05713144
1720825860000,57736.1,57738.6,57736.1,57738.5,0.11591883
