open_time,open,high,low,close,volume
1710696420000,68273.4,68347.2,68273.4,68340.1,6.05412405
1710696480000,68337.7,68350.0,68317.3,68335.3,6.56741742
1710696540000,68339.4,68382.5,68339.4,68366.8,3.81057769
1710696600000,68363.0,68368.1,68328.1,68328.1,2.70439791
1710696660000,68325.2,68347.5,68225.1,68272.0,5.70323841
1710696720000,68272.0,68283.9,68138.0,68138.1,9.38604301
1710696780000,68138.0,68166.3,68092.0,68149.9,4.97098
1710696840000,68152.0,68197.2,68105.8,68152.3,3.28506798
1710696900000,68152.2,68152.2,68093.7,68138.6,4.87147968
1710696960000,68139.0,68276.3,68137.2,68220.9,5.45104165
1710697020000,68219.9,68243.9,68203.3,68237.6,0.99570668
1710697080000,68237.7,68244.0,68162.0,68175.4,4.27716728
1710697140000,68175.5,68227.9,68175.4,68181.6,1.86016487
1710697200000,68181.6,68215.7,68149.4,68162.6,4.30533676
1710697260000,68162.2,68237.9,68160.9,68237.8,0.81620708
1710697320000,68237.8,68298.7,68221.2,68264.1,9.49191353
1710697380000,68259.0,68259.0,68208.9,68239.8,2.99439262
1710697440000,68239.9,68319.9,68228.6,68232.6,3.9258503
1710697500000,68230.3,68336.3,68199.2,68285.2,6.8361696
1710697560000,68285.7,68285.7,68179.9,68242.8,10.94427095
1710697620000,68245.9,68307.9,68240.1,68304.0,4.61141402
1710697680000,68300.3,68319.8,68286.9,68318.3,0.9776102
1710697740000,68319.7,68375.0,68319.7,68375.0,3.35735321
1710697800000,68375.0,68375.0,68264.1,68312.1,7.0304028
1710697860000,68308.1,68316.1,68252.0,68316.1,1.61614804
1710697920000,68308.1,68410.0,68305.3,68343.7,6.33250429
1710697980000,68348.0,68477.3,68348.0,68463.2,10.87238475
1710698040000,68474.2,68684.9,68445.4,68622.2,57.8463462
1710698100000,68621.1,68623.5,68549.8,68568.2,16.01996451
1710698160000,68562.0,68611.7,68528.5,68584.0,7.84015013
1710698220000,68580.6,68608.3,68562.9,68588.2,4.30997389
1710698280000,68581.2,68582.8,68521.8,68581.1,10.77088849
1710698340000,68581.2,68635.1,68539.4,68544.5,5.34690397
1710698400000,68544.6,68547.4,68463.0,68485.6,20.03078087
1710698460000,68478.4,68491.5,68433.0,68444.1,3.11165524
1710698520000,68444.1,68459.2,68376.0,68380.0,8.23658108
1710698580000,68378.6,68396.0,68337.6,68347.2,3.71671296
1710698640000,68347.1,68375.8,68320.1,68320.1,1.20699783
1710698700000,68320.1,68363.9,68290.0,68308.4,11.54042641
1710698760000,68311.1,68431.6,68311.1,68431.6,5.70214749
1710698820000,68431.5,68484.8,68406.7,68484.7,16.02629738
1710698880000,68484.8,68599.9,68479.5,68599.9,2.26308968
1710698940000,68599.8,68625.2,68500.0,68510.9,9.05378821
1710699000000,68510.9,68566.8,68474.7,68474.7,3.40579728
1710699060000,68474.7,68500.0,68446.5,68454.0,3.22220907
1710699120000,68453.6,68505.2,68384.4,68406.3,7.78434186
1710699180000,68406.4,68415.6,68368.4,68398.2,3.54982952
1710699240000,68400.3,68400.4,68357.1,68394.0,4.17664157
1710699300000,68396.7,68398.9,68301.0,68328.4,12.09187737
1710699360000,68328.3,68398.4,68323.4,68358.1,3.85429395
1710699420000,68360.9,68399.9,68351.4,68365.5,2.74333539
1710699480000,68367.6,68387.8,68352.0,68352.1,3.61731112
1710699540000,68352.0,68352.0,68281.8,68341.3,5.5212192
