open_time,open,high,low,close,volume
1717943220000,69412.3,69412.3,69300.0,69320.7,10.40006595
1717943280000,69323.9,69378.6,69323.9,69355.8,1.65433597
1717943340000,69359.3,69367.8,69324.2,69324.3,0.58662588
1717943400000,69324.3,69324.3,69264.7,69311.8,5.24831477
1717943460000,69311.7,69359.7,69303.9,69359.2,1.23159856
1717943520000,69359.2,69362.6,69351.9,69362.6,1.93325809
1717943580000,69362.6,69377.0,69351.8,69376.9,0.65549349
1717943640000,69377.0,69386.1,69376.9,69380.9,3.57032549
1717943700000,69380.9,69383.0,69349.8,69355.1,2.43216501
1717943760000,69355.0,69386.3,69355.0,69382.6,0.56962546
1717943820000,69382.6,69389.3,69369.5,69382.3,1.80784674
1717943880000,69382.2,69427.7,69382.2,69427.7,2.29765504
1717943940000,69427.7,69427.7,69414.0,69414.9,0.23585666
1717944000000,69414.8,69414.9,69402.3,69412.5,1.0758025
1717944060000,69413.2,69417.0,69413.2,69416.9,0.07476758
1717944120000,69417.0,69420.2,69417.0,69420.1,0.43567961
1717944180000,69420.1,69420.2,69412.2,69417.0,0.30939074
1717944240000,69420.0,69455.9,69420.0,69455.3,3.45061167
1717944300000,69455.3,69469.4,69437.9,69439.7,0.36031977
1717944360000,69439.0,69439.0,69418.6,69424.0,1.99251199
1717944420000,69423.9,69467.0,69423.9,69464.0,6.3372547
1717944480000,69464.0,69476.0,69463.7,69475.9,0.96439238
1717944540000,69474.7,69476.1,69471.4,69476.1,0.44176631
1717944600000,69476.3,69478.7,69460.3,69466.7,2.02705108
1717944660000,69466.7,69480.7,69466.7,69480.7,0.62056716
1717944720000,69480.7,69484.1,69480.6,69484.1,0.26471249
1717944780000,69485.7,69485.7,69453.9,69463.3,1.01761635
1717944840000,69463.2,69473.9,69463.2,69473.8,0.28127774
1717944900000,69473.8,69473.9,69473.0,69473.0,0.26784241
1717944960000,69473.0,69473.7,69471.4,69473.7,0.90312053
1717945020000,69473.7,69491.9,69473.1,69491.9,1.44063734
1717945080000,69487.3,69489.0,69484.0,69484.0,0.22519979
1717945140000,69484.1,69489.0,69483.9,69489.0,0.43074904
1717945200000,69489.0,69490.6,69450.0,69450.0,1.05602839
1717945260000,69450.1,69483.9,69450.1,69483.9,0.30306494
1717945320000,69483.9,69490.0,69483.9,69490.0,0.12856586
1717945380000,69490.9,69505.0,69490.9,69503.4,0.28113482
1717945440000,69503.4,69503.4,69477.8,69477.9,0.33588844
1717945500000,69477.9,69492.0,69477.9,69487.4,0.64003105
1717945560000,69487.5,69495.3,69487.5,69495.1,0.02924284
1717945620000,69495.1,69498.5,69492.2,69498.5,0.60624473
1717945680000,69498.5,69521.7,69498.5,69521.7,0.74288115
1717945740000,69521.6,69521.7,69496.9,69507.9,0.4554163
1717945800000,69507.9,69513.1,69505.1,69513.0,0.3206922
1717945860000,69513.1,69576.1,69506.0,69570.6,17.65960979
1717945920000,69570.5,69570.6,69530.5,69543.3,2.88107395
1717945980000,69543.2,69561.1,69527.0,69551.1,3.58076627
1717946040000,69551.2,69562.6,69536.0,69536.0,1.25058164
1717946100000,69536.1,69554.5,69536.0,69554.4,0.48725408
1717946160000,69554.5,69566.6,69553.0,69566.5,1.17533567
1717946220000,69566.5,69572.0,69566.5,69572.0,3.51680125
1717946280000,69571.9,69584.0,69557.6,69579.9,1.97613503
1717946340000,69579.9,69579.9,69544.0,69544.1,3.28661085
1717946400000,69547.9,69554.4,69547.9,69554.4,0.42811379
1717946460000,69554.4,69575.3,69550.4,69550.4,12.05079648
1717946520000,69549.6,69553.0,69492.2,69492.2,2.09231847
1717946580000,69492.2,69513.1,69492.2,69501.8,1.01832795
1717946640000,69500.7,69500.7,69484.0,69488.0,2.40523664
1717946700000,69484.0,69484.0,69448.6,69448.6,1.33179712
1717946760000,69440.7,69448.6,69425.1,69448.5,3.47991767
1717946820000,69448.5,69471.2,69448.5,69469.8,1.08618042
1717946880000,69469.8,69469.8,69450.5,69456.4,0.28781476
1717946940000,69456.5,69473.4,69456.5,69472.1,0.32082608
1717947000000,69472.1,69500.0,69472.0,69500.0,4.10982293
1717947060000,69499.9,69536.0,69499.9,69536.0,3.84111297
1717947120000,69538.3,69561.1,69536.0,69545.4,10.13537964
1717947180000,69536.9,69540.6,69523.5,69529.3,0.23350123
1717947240000,69529.3,69529.4,69492.1,69496.4,1.73013674
1717947300000,69496.5,69519.4,69489.8,69506.9,1.03253266
1717947360000,69506.8,69518.8,69506.8,69517.8,0.78573302
1717947420000,69517.7,69527.3,69517.3,69517.3,0.43937094
1717947480000,69517.3,69517.4,69504.0,69516.3,1.7223315
1717947540000,69516.3,69529.2,69516.3,69529.2,0.43889744
1717947600000,69529.3,69531.1,69529.3,69529.8,0.33546953
1717947660000,69529.8,69538.0,69527.4,69537.9,2.26781999
1717947720000,69538.0,69538.0,69525.8,69525.8,0.66609853
1717947780000,69525.8,69530.1,69520.9,69521.0,0.92292498
1717947840000,69520.9,69523.4,69520.9,69523.4,0.21013926
1717947900000,69523.4,69523.4,69498.0,69504.9,3.80179365
1717947960000,69504.9,69519.3,69504.9,69519.3,0.76761371
1717948020000,69519.2,69527.8,69519.2,69527.7,1.71515723
1717948080000,69527.7,69536.0,69527.7,69536.0,0.26423342
1717948140000,69536.9,69551.3,69536.9,69546.6,0.66387132
1717948200000,69546.6,69568.6,69546.6,69567.3,1.94554871
1717948260000,69567.2,69567.2,69546.6,69555.8,2.5559708
1717948320000,69555.9,69555.9,69529.0,69532.0,0.21060869
1717948380000,69532.0,69540.1,69524.0,69524.0,1.9561998
1717948440000,69524.0,69534.7,69521.3,69521.3,0.15350587
1717948500000,69521.2,69525.8,69495.0,69525.7,2.31077385
1717948560000,69525.7,69525.8,69524.2,69524.3,0.31695635
1717948620000,69524.6,69547.3,69524.6,69547.3,3.01850808
1717948680000,69547.9,69547.9,69543.2,69545.6,2.21066527
1717948740000,69544.0,69544.1,69504.1,69508.5,1.88698969
1717948800000,69508.6,69525.4,69508.5,69521.8,1.05391148
1717948860000,69521.8,69529.1,69512.0,69529.1,1.00900682
1717948920000,69529.2,69529.3,69513.1,69513.1,0.79466383
1717948980000,69513.1,69513.1,69493.8,69493.9,1.28992023
1717949040000,69493.9,69513.2,69493.8,69513.1,0.83607084
1717949100000,69513.1,69513.1,69499.9,69499.9,0.18508673
1717949160000,69500.0,69543.3,69500.0,69543.2,1.424332
